Level,Sex,SuperPop,n,beta1,se,r,p
Global,Boys,All,26,-0.03259824778671514,0.021959384585243824,-0.2899966378316986,0.15069831254564664
Global,Girls,All,26,-0.01620355396344558,0.025757874352681596,-0.12736301690539598,0.5352444451611051
Within-superpop,Boys,AFR,7,-0.07834512694184052,0.04253333499190765,-0.6358105523806141,0.12483095528491107
Within-superpop,Boys,AMR,4,0.017373281081290007,0.05286733135380705,0.22633934083213494,0.7736606591678652
Within-superpop,Boys,EAS,5,0.010905700468829238,0.007360346101993495,0.6500495592942083,0.23502686330234257
Within-superpop,Boys,EUR,5,0.05089370720598014,0.030509190267568195,0.6936940551737631,0.19387891042138036
Within-superpop,Boys,SAS,5,0.019280049962055033,0.016560690639000137,0.5578493627719467,0.3285094016385133
Within-superpop,Girls,AFR,7,-0.0810892777477287,0.04683764630740654,-0.6122029990239449,0.1439529710060071
Within-superpop,Girls,AMR,4,0.016324379773645873,0.0516361751550739,0.21816172803059955,0.7818382719694001
Within-superpop,Girls,EAS,5,0.015968199588480628,0.0032380566482024253,0.943496534769995,0.015985675221599327
Within-superpop,Girls,EUR,5,0.0676762461743891,0.034045681952669195,0.75394351180280506,0.14098378125331257
Within-superpop,Girls,SAS,5,0.02796304492094357,0.02377577340928157,0.5617613482448338,0.32438211771880143
